x,y
0.31687668,0.41489672
0.31687668,0.41469242
0.31687668,0.41448813
0.31687668,0.41428384
0.31687668,0.41407954
0.31687668,0.41387525
0.31687668,0.41367095
0.31687668,0.41346666
0.31687668,0.41326236
0.31687668,0.41305807
0.31687668,0.41285378
0.31687668,0.41264948
0.31687668,0.41244519
0.31687668,0.41224089
0.31687668,0.41203660
0.31687668,0.41183230
0.31687668,0.41162801
0.31687668,0.41142371
0.31687668,0.41121942
0.31687668,0.41101513
0.31687668,0.41081083
0.31687668,0.41060654
0.31687668,0.41040224
0.31687668,0.41019795
0.31687668,0.40999365
0.31687668,0.40978936
0.31687668,0.40958507
0.31687668,0.40938077
0.31687668,0.40917648
0.31687668,0.40897218
0.31687668,0.40876789
0.31687668,0.40856359
0.31687668,0.40835930
0.31687668,0.40815500
0.31687668,0.40795071
0.31687668,0.40774642
0.31687668,0.40754212
0.31687668,0.40733783
0.31687668,0.40713353
0.31687668,0.40692924
0.31687668,0.40672494
0.31687668,0.40652065
0.31687668,0.40631636
0.31687668,0.40611206
0.31687668,0.40590777
0.31687668,0.40570347
0.31687668,0.40549918
0.31687668,0.40529488
0.31687668,0.40509059
0.31687668,0.40488630
0.31687668,0.40468200
0.31687668,0.40447771
0.31687668,0.40427341
0.31687668,0.40406912
0.31687668,0.40386482
0.31687668,0.40366053
0.31687668,0.40345623
0.31687668,0.40325194
0.31687668,0.40304765
0.31687668,0.40284335
0.31687668,0.40263906
0.31687668,0.40243476
0.31687668,0.40223047
0.31687668,0.40202617
0.31687668,0.40182188
0.31687668,0.40161759
0.31687668,0.40141329
0.31687668,0.40120900
0.31687668,0.40100470
0.31687668,0.40080041
0.31687668,0.40059611
0.31687668,0.40039182
0.31687668,0.40018752
0.31687668,0.39998323
0.31687668,0.39977894
0.31687668,0.39957464
0.31687668,0.39937035
0.31687668,0.39916605
0.31687668,0.39896176
0.31687668,0.39875746
0.31687668,0.39855317
0.31687668,0.39834888
0.31687668,0.39814458
0.31687668,0.39794029
0.31687668,0.39773599
0.31687668,0.39753170
0.31687668,0.39732740
0.31687668,0.39712311
0.31687668,0.39691882
0.31687668,0.39671452
0.31687668,0.39651023
0.31687668,0.39630593
0.31687668,0.39610164
0.31687668,0.39589734
0.31687668,0.39569305
0.31687668,0.39548875
0.31687668,0.39528446
0.31687668,0.39508017
0.31687668,0.39487587
0.31687668,0.39467158
0.31687668,0.39446728
0.31687668,0.39426299
0.31687668,0.39405869
0.31687668,0.39385440
0.31687668,0.39365011
0.31687668,0.39344581
